assignee,sector
APPLIED SCIENCE & TECH RES,public_rd
APRINOIA THERAPEUTICS LTD,company
APTACURE THERAPEUTICS LTD,company
APTIV TECH LTD,company
APTORUM THERAPEUTICS LTD,company
APTUS BUSINESS LOGIC PTE LTD,company
AQUAEASY PTE LTD,company
AQUAMED LTD,company
ARBELE LTD,company
ARCTAN ANALYTICS PTE LTD,company
ARCTIC OCEAN TINORE TRADE CO LTD,company
ARECO INT PTE LTD,company
ARLANXEO SINGAPORE PTE LTD,company
ARRIVE PTE LTD,company
ARROW MED DESIGN PTE LTD,company
ARROW-MED DESIGN PTE LTD,company
ARTIFICIAL INTELLIGENCE ROBOTICS PTE LTD,company
ARUZE GAMING HONG KONG LTD,company
ASCENT SOLUTIONS PTE LTD,company
ASCENTAGE PHARMA GROUP CORP LTD,company
ASG INSPIRATION LABORATORY LTD,company
ASIA BASE TECH LIMITED,company
ASIA BIOTECH PTE LTD,company
ASIA GENOMICS PTE LTD,company
ASIA MEDICAL CENTER PRIVATE LTD,company
ASIA PACIFIC MEDICAL TECH DEV COMPANY LTD,company
ASIA PACIFIC MEDICAL TECH DEVELOPMENT COMPAN Y LTD,company
ASIA PACIFIC MEDICAL TECH DEVELOPMENT COMPANY LTD,company
ASIA PACIFIC MEDICAL TECHNOLOGY DEVELOPMENT COMPANY LTD,company
ASIABASE TECH LIMITED,company
ASIABASE TECH LTD,company
ASIABASE TECHNOLOGIES LTD,company
ASIAN PRIME SOURCES LTD,company
ASLAN PHARMACEUTICALS PTE LTD,company
ASM TECH SINGAPORE PTE LTD,company
ASMPT SINGAPORE PTE LTD,company
ASPEX OF BIODYNAMICS PTE LTD,company
ASPEX OF DESIGN PTE LTD,company
ASTEC INT LTD,company
ASTEE INTERNATIONAL LTD,company
ASTORIA SOLUTIONS PTE LTD,company
ASUS GLOBAL PTE LTD,company
AT&T Global Network Services Hong Kong LTD,company
ATHENEX HK INNOVATIVE LTD,company
ATHENEX THERAPEUTICS LTD,company
AUDIO ZOOM PTE LTD,company
AUGMENTUS PTE LTD,company
AUISET BIOTECHNOLOGY COMPANY LTD,company
AUKI MATTERLESS LTD,company
AURORA INTERNATIONAL LTD,company
AUSMED GLOBAL LTD,company
AUSTRIANOVA SINGAPORE PTE LTD,company
AUTHPAPER LTD,company
AUTOMATED MACHINE LEARNING LTD,company
AUTOMATION FOR HUMANITY LTD,company
AUTONOTECH PTE LTD,company
AUTONYM PTE LTD,company
AUXILIA LTD,company
AVAGO TECH INT SALES PTE LID,company
AVAGO TECH INTERNATIONAL SALES PTE LIMITE,company
AVAGO TECHNOLOGIES GENERAL IP,company
AVAGO TECNOLOGIES INTERNATIONAL SALES PTE LTD,company
AVALANCHE STUDIO PTE LTD,company
AVALON BIOLOGICS LTD,company
AVALON BIOMEDICAL (MANAGEMENT) LTD,company
AVALON BIOMEDICAL MAN LIMITED,company
AVALON BONE SUPPLEMENT HK LTD,company
AVALON FLAVIVIRAL THERAPEUTICS HK LTD,company
AVALON HEPAPOC LTD,company
AVALON NANOSILVER RX HK LTD,company
AVALON PHOTONICS HK LTD,company
AVALON PHOTONICS HK LTD APL,company
AVALON POLYTOM HK LTD,company
AVALON SPINECARE HK LTD,company
AVALON STERITECH LTD,company
AVANSEUS HOLDINGS PTE LTD,company
AVANT MEATS COMPANY LTD,company
AVENNETZ TECHNOLOGIES PTE LTD,company
AVIR MEDICAL PTE LTD,company
AWAK TECH PTE LTD,company
AXCYNSIS THERAPEUTICS PTE LTD,company
AXINAN PTE LTD,company
AXP Solutions Pte Ltd,company
AYZER SENSE TECH PTE LTD,company
AZURE GAMING HONG KONG LTD,company
Aon Global Operations Ltd (Singapore Branch),company
Attribuild Pte Ltd,company
Aurum Medicare Pte Ltd,company
Avida Health Pte Ltd,company
BACTOCLEAR HOLDINGS PTE LTD,company
BANDBERRY LTD,company
BANMA ZHIXING NETWORK HONGKONG CO LTD,company
BANUBA LTD,company
BARK TECH PTE LTD,company
BBPOS LTD,company
BCS BUSINESS CONSULTING SERVICES PTE LTD,company
BEACON MEDCARE HK LTD,company
BEAUTY NATION PTE LTD,company
BECTON DICKINSON HOLDINGS PTE LTD,company
BELITE BIO HK LTD,company
BELLION CLOFE TECH PTE LTD,company
BELUM TECH IP COMPANY LIMITED,company
BELUN TECH COMPANY LIMITED,company
BELUN TECH IP COMPANY LIMITED,company
BESTOP GROUP HOLDINGS LTD,company
BETA MEDTECH PTE LTD,company
BETAGEN SCIENT LIMITED,company
BETTER AIR INTERNATIONAL LTD,company
BGI HEALTH HK COMPANY LTD,company
BIGO TECH PTE LTD,company
BILLI TECH PTE LTD,company
BILLION KING INT LTD,company
BILLION KING INTERNATIONAL LTD,company
BINARYFLUX PTE LTD,company
BINATONE ELECTRONICS INTERNATIONAL LTD,company
BING BIOTECH LTD,company
BIO CANCER TREAT INTERNATIONAL LIMITED,company
BIO CANCER TREATMENT INT LTD,company
BIO MEDICAL ENG HK LTD,company
BIO-CANCER TREAT INT LTD,company
BIO-CANCER TREAT INTERNATIONAL LIMITED,company
BIO-MEDICAL ENG (HK) LTD,company
BIOBOT SURGICAL PTE LTD,company
BIOCELL INNOVATIONS PTE LTD,company
BIOCEUTICALS PTE LTD,company
BIOCOZ GLOBAL PTE LTD,company
BIOGTS GREEN ENERGY COMPANY LTD,company
BIOKEY PTE LTD,company
BIOLIDICS LTD,company
BIOLUX RES HOLDINGS INC,company
BIOMAP INTELLIGENCE TECH SG PTE LTD,company
BIOMAX HOLDINGS PTE LTD,company
BIOMERS PTE LTD,company
BIORITHM PTE LTD,company
BIOSENSE DIAGNOSTICS PTE LTD,company
BIOSENSORS INT GROUP LTD,company
BIOSIGNS PTE LTD,company
BIOSYNGEN PTE LTD,company
BIOVASCULAR THERAPEUTICS PTE LTD,company
BIRDIE BIOPHARMACEUTICALS INC,company
BIT TRAP PTE LTD,company
BITCLAVE PTE LTD,company
BITMAINTECH PTE LTD,company
BITWAVE PTE LTD,company
BLACK JACK TECH CO LIMITED,company
BLACKPANDA PTE LTD,company
BLOCKPASS IDN LTD,company
BLOOMMED TECH PTE LTD,company
BLOOMMED TECH PTE LTD SG,company
BLOSH CO PTE LTD,company
BLUE AQUA INT PTE LTD,company
BLUE MEDICAL INNOVATION LTD,company
BLUE PLANET ENV SOLUTION PTE LTD,company
BLUE PLANET ENV SOLUTIONS PTE LTD,company
BLUE UMBRELLA LTD,company
BLUESAIL NEW VALVE TECH ASIA LTD,company
BORECAM ASIA PTE LTD,company
BORRIES PTE LTD,company
BOSANY ENV LTD,company
BOXTHREE PTE LTD,company
BRANE COGNITIVES PTE LTD,company
BRASS RING INTERNATIONAL DENSITY ENTERPRISE LTD,company
BREATHONIX PTE LTD,company
BRIDEA IP LTD,company
BRIGHT CLINICAL RES LIMITED,company
BRIGHT CLINICAL RES LTD,company
BRIGHT KINGDOM GLOBAL SOURCING LTD,company
BRIGHTGENE PTE LTD,company
BRILLNICS SINGAPORE PTE LTD,company
BUCKYOL LTD,company
BYTON LTD,company
Benir Baby LTD,company
Biotix PTE LTD,company
Bloomy Lotus Ltd,company
C MER RAINSOPTICS LTD,company
C/O H3 DYNAMICS PTE LTD,company
C2 SYSTEMS LTD,company
CACHE PRIVATE LTD,company
CAFE X TECH LTD,company
CAINIAO SMART LOGISTICS NETWORK HONG KONG LTD,company
CALIGNER PTE LTD,company
CALL LEVELS PTE LTD,company
CAMBRIDGE CENTRE FOR ADVANCED RES AND EDUCATION IN SINGAPORE LTD,public_rd
CANADIAN CHIROPRACTIC CENTRE LTD,company
CANDACE GUIDANCE SIGNAGE LTD,company
CANDLEJOY PTE LTD,company
CANWELL BIOTECH LTD,company
CAPBRIDGE CORNERSTONE PTE LTD,company
CAPILLARY PTE LTD,company
CAPILLARY TECH INTERNATIONAL PTE LTD,company
CAPRICORN HOLDING PTE LTD,company
CARE AUTOMATION HOLDINGS LTD,company
CARGENE THERAPEUTICS PTE LTD,company
CARMENTIX PTE LTD,company
CARMINE THERAPEUTICS PTE LTD,company
CASBIO S PTE LTD,company
CASETAGRAM LTD,company
CASTARALO LTD,company
CELL ID PTE LTD,company
CELLIGENICS PTE LTD,company
CELLRES CORP PTE LTD,company
CELLRESEARCH CORP PTE LTD,company
CELLULAR BIOMEDICINE GROUP HK LTD,company
CENNERV PHARMA (S) PTE LTD,company
CENNERV PHARMA S PTE LTD,company
CENTER FOR NEUROMUSCULOSKELETAL RESTORATIVE MEDICINE LTD,public_rd
CENTER FOR REGENERATIVE MEDICINE AND HONG KONG HEALTH HONG KONG INST OF SCIENCE & INNOVATION,public_rd
CENTRAL VICTORY LTD HK,company
CENTRE FOR EYE AND VISION RES LIMITED,public_rd
CENTRE FOR GARMENT PRODUCTION LTD,public_rd
CENTRE FOR IMMUNOLOGY & INFECTION LTD,public_rd
CENTRE FOR INTELLIGENT MULTIDIMENSIONAL DATA ANALYSIS LTD,public_rd
CENTRE FOR NOVOSTICS,public_rd
CENTRE FOR NOVOSTICS LTD,public_rd
CENTRE FOR ONCOLOGY AND IMMUNOLOGY LTD,public_rd
CENTRE FOR REGENERATIVE MEDICINE AND HEALTH HONG KONG INSTITUTE OF SCIENCE & INNOVATION CHINESE ACAD,public_rd
CENTRE FOR REGENERATIVE MEDICINE AND HEALTH HONG KONG INSTITUTE OF SCIENCE AND INNOVATION,public_rd
CENTRE FOR TRANSLATIONAL STEM CELL BIOLOGY LTD,public_rd
CENTRE FOR VIROLOGY VACCINOLOGY AND THERAPEUTICS LIMITED,public_rd
CENTRE FOR VIROLOGY VACCINOLOGY AND THERAPEUTICS LTD,public_rd
CENTURY INT ENTPR LTD,company
CENTURY INTERNATIONAL ENTERPRISES LTD,company
CEREBOS PACIFIC LTD,company
CERTIS CISCO SECURITY PTE LTD,company
CHAMPS INNOVATIONS PTE LTD,company
CHANGI AIRPORT GROUP SINGAPORE PTE LTD,company
CHANGI GENERAL HOSPITAL PTE LTD,public_rd
CHEER GLOBAL LTD,company
CHEKTEC PTE LTD,company
CHI X ASIA PACIFIC HOLDINGS LTD,company
CHIKKA PTE LTD,company
CHINESE UNIV OF HONG KONG,university
CHISCAN HOLDING PTE LTD,company
CHISCAN HOLDINGS PTE LTD,company
CHOW TAI FOOK JEWELLERY CO LTD,company
CHRYSUS INTELLECTUAL PROPERTIES LTD,company
CHUGAI PHARMABODY RES PTE LTD,company
CHUN WO CONSTRUCTION & ENGINEERING CO LTD,company
CINIME ASIA PACIFIC PTE LTD,company
CINTECHCO TECH PTE LTD,company
CIRCL PTE LTD,company
CIRCULAR IND HOLDING PTE LTD,company
CIRQ TECH LIMITED,company
CITY UNIV OF HONG KONG,university
CITY UNIV OF IIONG KONG,university
CJ TECH HOLDINGS PTE LTD,company
CLAULT PTE LTD,company
CLAVES LIFE SCIENCES LTD,company
CLEAR ROBOTICS LTD,company
CLEARBRIDGE BIOMEDICS PTE LTD,company
CLEARBRIDGE BIOPHOTONICS PTE LTD,company
CLEARLAB SG PTE LTD,company
CLEARONE COMMUNICATIONS HONG KONG LTD,company
CLEVER MOTION TECH LIMITED,company
CLEVER MOTION TECH LTD,company
CLIMATE RESOURCES EXCHANGE INT PTE LTD,company
CLOUD INTELLIGENCE ASSETS HOLDING SINGAPORE PRIVATE LTD,company
CLOUD NETWORK TECH SINGAPORE PTE LTD,company
CLOUDRADIGM PTE LTD,company
CM HK LTD,company
CMS RES & DEVELOPMENT PTE LTD,company
CMT HEALTH PTE LTD,company
CNRS@CREATE,public_rd
CO NUT INK PTE LTD,company
COCONUTZ PTE LTD,company
COGNIUS AI PTE LTD,company
COHERENT BIOPHARMA I LTD,company
COLLATR LTD,company
COMEPA INDUSTRIES LTD,company
COMPASS TECH COMPANY LIMITED,company
COMPASS TECH COMPANY LTD,company
COMPONENT AEROSPACE SINGAPORE PTE LTD,company
COMPUTIME LTD,company
CONEX HEALTHCARE PTE LTD,company
CONFIRMU PTE LTD,company
CONNECT BIOPHARMA HONG KONG LTD,company
CONNECT BIOPHARMA HONGKONG LTD,company
CONSUMABLES MEDICAL PACIFIC IND LTD,company
CONTEMPORARY AMPEREX TECHNOLOGY HONG KONG LTD,company
CONTIN TECH LIMITED,company
CONTINALE MEDICAL PTE LTD,company
CONTINENTAL AUTOMOTIVE SINGAPORE PTE LTD,company
CONTRENDIAN LTD,company
CONVERGENCE SYSTEMS LTD,company
CONVOCATION CO LTD,company
COOLING ELECTRONICS CO LTD,company
COOLPAY PTE LTD,company
CORTI THERAPEUTICS PTE LTD,company
CORXEL PHARMACEUTICALS HONG KONG LTD,company
COVERGO LTD,company
CPMASTERPIECE CO LTD,company
CRAFT HEALTH PTE LTD,company
CRAGE MEDICAL CO LTD,company
CRAYON DATA PTE LTD,company
CREATION PLUS BIOTECHNOLOGY CO LTD,company
CREATIVE TECH LTD,company
CREDIT SUISSE AG SINGAPORE BRANCH,company
CREDO BIOMEDICAL PTE LTD,company
CREDO DIAGNOSTICS BIOMEDICAL PTE LTD,company
CREEDON TECH HK LIMITED,company
CRIMSON TAG LTD,company
CROWN DIGITAL PTE LTD,company
CRYOELECTRIC SCIENCE LTD,company
CSC ROBOTIC ENGINEERING LTD,company
CTR INTELLECTUAL PROPERTY CO LTD,company
CUEZEN INC,company
CURIOX BIOSYSTEMS PTE LTD,company
CURIUM PTE LTD,company
CXA GROUP PTE LTD,company
CYBAVO PTE LTD,company
CYCLECT ELECTRICAL ENG PTE LTD,company
CYNTEK PTE LID,company
CYRCADIA ASIA LTD,company
City Iniversity of Hong Kong,university
Cyber Armor Pte Ltd,company
D2V LTD,company
DATA SPARK PTE LTD,company
DATAESP PRIVATE LTD,company
DATASPARK PTE LTD,company
DATHENA SCIENCE PTD LTD,company
DATHENA SCIENCE PTE LTD,company
DAXCHAIN LTD,company
DAYTON TECH LIMITED,company
DBS BANK LTD,company
DCIC BIOPHARMACEUTICAL LTD,company
DCONSTRUCT TECH PTE LTD,company
DECODE CURE LTD,company
DEEP LONGEVITY LTD,company
DEEP TRANSLATE LTD,company
DEEPGREEN ENG PTE LTD,company
DEFOND COMPONENTS LTD,company
DEFUGO TECH PTE LTD,company
DEFUGO TECHOLOGIES PTE LTD,company
DELIGHTEX PTE LTD,company
DELTA ELECTRONICS INT SINGAPORE PTE LTD,company
DELTA ELECTRONICS INTL SINGAPORE PTE LTD,company
DELTA ELECTRONICS INT’L SINGAPORE PTE LTD,company
DENKA LIFE INNOVATION RES PTE LTD,company
DERMACLIP HONGKONG LTD,company
DESIWE TECH PTE LTD,company
DESKERA SINGAPORE PTE LTD,company
DESYGNER PTE LTD,company
DETLA ELECTRONICS INTL SINGAPORE PTE LTD,company
DH TECH DEVEKIONENT PTE LTD,company
DH TECHNOLOGIES DEV PTE LTD,company
DIAGCOR BIOSCIENCE INC LTD,company
DIALYSS PTE LTD,company
DIAPER RECYCLING TECH PTE LTD,company
DIFFERENCE BIOTECH PTE LTD,company
DIGILOCK ASIA LTD,company
DIGITAL ALPHA GROUP PTE LTD,company
DIGITAL DOMAIN ENTERPRISES GROUP LTD,company
DIGITAL ENTERTAINMENT ASSET PTE LTD,company
DIGITAL SURGICALS PTE LTD,company
DIGITAL TOOLS COMPANY LTD,company
DIGITAL TRANSACTION LTD,company
DINO TECH PTE LTD,company
DIPTECH PTE LTD,company
DIS DEVELOPMENT LTD,company
DIXTECH INNOVATION PTE LTD,company
DOLA TECH LIMITED,company
DOOOGA TEC PTE LTD,company
DOTBIO PTE LTD,company
DOTTER INTELLECTUAL PTE LTD,company
DOXA HOLDINGS INT PTE LTD,company
DR CLEAR PTE LTD,company
DRAGON VICTORY DEV LTD,company
DRAGONFLY FINTECH PTE LTD,company
DRD LIFESCIENCES GROUP LTD,company
DREAMTEC INTELLECTUAL PROPERTY LTD,company
DRGEORGIALEE PTE LTD,company
DRUVA TECH PTE LTD,company
DSG TECHNOLOGY HOLDINGS LTD,company
DSO NAT LAB,public_rd
DSO NAT LABORATORIES,public_rd
DURAPOWER HOLDINGS PTE LTD,company
DYNAMIC CENTURY HOLDINGS LTD,company
DYNASTY ESPORTS PTE LTD,company
DYSON OPERATIONS PTE LTD,company
Delsson Singapore Pte Ltd,company
Delta Electronics Int'l (Singapore) Pte Ltd,company
E2S2 SYSTEMS PTE LTD,company
EAST PACIFIC IND LTD,company
EASTERN HEALTH ALLIANCE PTE LTD,company
EASTERN VISION LTD,company
EBATTE HOLDINGS LTD,company
EC COUNCIL INTERNATIONAL LTD,company
ECO BIOMASS TECH COMPANY LIMITED,company
ECOMMERCE ENABLERS PTE LTD,company
ECOSPEC NOVELTECH PTE LTD,company
EDANZ GROUP LTD,company
EDDE PTE LTD,company
EDGECORTIX PTE LTD,company
EDTECH PLUS PTE LTD,company
EDUCATION INDEX MAN ASIA PACIFIC PTE LTD,company
EDZHENSI FO SAJENS TEKNOLODZHI END RESERCH,public_rd
EFFITO PTE LTD,company
EIELING TECH LIMITED,company
EINNOVATIONS HOLDING PTE LTD,company
EINNOVATIONS HOLDINGS PTE LTD,company
EINS TECH PTE LTD,company
EKO AI PTE LTD,company
ELECTRICAL AND MECH SERVICES DEPARTMENT THE GOVERNMENT OF HONG KONG SPECIAL ADMINISTRATIVE RE,public_rd
ELECTRICAL AND MECH SERVICES DEPARTMENT THE GOVERNMENT OF THE HONG KONG SPECIAL ADMINISTRATIV,public_rd
ELEGANT BEST INVESTMENT LTD,company
ELID TECH INT PTE LTD,company
ELID TECH INTERNATIONAL PTE LTD,company
ELIXIRON IMMUNOTHERAPEUTICS HONG KONG LTD,company
ELIXIRON IMMUNOTHERAPEUTICS HONG KONG LTD HK,company
ELLAMED IP & SERVICES PTE LTD,company
EM2AI Pte Ltd,company
EMAGE AI PTE LTD,company
EMAGE AL PTE LTD,company
EMAGE TOMO PTE LTD,company
EMAGE VISION PTE LTD,company
EMERGING VIRAL DIAGNOSTICS HK LTD,company
EMERGING VIRAL DIAGNOSTICS LTD,company
EMERGING VIRAL THRAPEUTICS LTD,company
EMM DIAGNOSTICS PTE LTD,company
EMO TECH PTE LTD,company
EMV ENHANCE HK LTD,company
EMV MERS HK LTD,company
ENANO HEALTH LTD,company
ENDOMASTER PTE LTD,company
ENDOSIQ TECH PTE LTD,company
ENDOWAYS HONG KONG MEDICAL CO LTD,company
ENERGAIA PTE LTD,company
ENGINE BIOSCIENCES PTE LTD,company
ENLEOFEN BIO PTD LTD,company
ENLEOFEN BIO PTE LTD,company
ENSIGN INFOSECURITY CYBERSECURITY PTE LTD,company
ENSIGN INFOSECURITY PTD LTD,company
ENSIGN INFOSECURITY PTE LTD,company
ENTEROMED LTD,company
ENVISION DIGITAL INT PTE LTD,company
ENVISON DIGITAL INT PTE LTD,company
ENZYNOMICS H K LTD,company
EPIC MEDICAL PTE LTD,company
EPIGENIC THERAPEUTICS PTE LTD,company
EPIMAB BIOTHERAPEUTICS HK LTD,company
EPIMAD BIOTHERAPEUTICS HK LTD,company
EPIONE RES AND DEVELOPMENT INSTITURE LTD,company
EPIONE RES AND DEVELOPMENT INSTITUTE LTD,company
EPISODE SIX LTD,company
EPITRONIC HOLDINGS PTE LTD,company
EPONA BIOTEC LTD,company
ES CELL INT PTE LTD,company
ESCAPEX LTD,company
ESCO ASTER PTE LTD,company
ETERNAL GRACE PTE LTD,company
ETH SINGAPORE SEC LTD,company
ETHERSECURITY PACIFIC HOLDINGS PTE LTD,company
EU YAN SANG INT LTD,company
EUBULUS BIOTHERAPEUTICS HONG KONG LTD,company
