industry,journal,source_id,year,global_works,tier
biomed,Nature Metabolism,S4210232714,2024,200,sensitivity
biomed,Nature Cancer,S4210236562,2015,0,sensitivity
biomed,Nature Cancer,S4210236562,2016,0,sensitivity
biomed,Nature Cancer,S4210236562,2017,0,sensitivity
biomed,Nature Cancer,S4210236562,2018,0,sensitivity
biomed,Nature Cancer,S4210236562,2019,3,sensitivity
biomed,Nature Cancer,S4210236562,2020,124,sensitivity
biomed,Nature Cancer,S4210236562,2021,131,sensitivity
biomed,Nature Cancer,S4210236562,2022,158,sensitivity
biomed,Nature Cancer,S4210236562,2023,136,sensitivity
biomed,Nature Cancer,S4210236562,2024,157,sensitivity
biomed,Nature Aging,S4210214063,2015,0,sensitivity
biomed,Nature Aging,S4210214063,2016,0,sensitivity
biomed,Nature Aging,S4210214063,2017,0,sensitivity
biomed,Nature Aging,S4210214063,2018,0,sensitivity
biomed,Nature Aging,S4210214063,2019,0,sensitivity
biomed,Nature Aging,S4210214063,2020,2,sensitivity
biomed,Nature Aging,S4210214063,2021,90,sensitivity
biomed,Nature Aging,S4210214063,2022,132,sensitivity
biomed,Nature Aging,S4210214063,2023,142,sensitivity
biomed,Nature Aging,S4210214063,2024,181,sensitivity
